HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,deck,deck_num,deck_side,group,group_number,RoomService_cat,FoodCourt_cat,ShoppingMall_cat,Spa_cat,VRDeck_cat
Europa,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Alraida Trattle,C,133,S,3713,1,False,False,False,False,False
Earth,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Letty Brightez,G,1294,S,8014,1,False,False,False,False,False
Earth,True,PSO J318.5-22,26.0,False,0.0,0.0,0.0,0.0,0.0,Kene Macdonadows,G,340,P,2118,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,40.0,False,8.25,0.0,3.04,0.0,0.0,Doulls Boyst,D,248,P,7987,1,True,False,True,False,False
Earth,True,TRAPPIST-1e,49.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Georgasey,G,1276,P,7902,3,False,False,False,False,False
Europa,False,55 Cancri e,29.0,False,0.0,9.44,0.0,1.1,8.53,Mirfark Taketiatim,B,297,P,9069,5,False,True,False,True,True
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,Curtle Oconley,G,1257,S,7767,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,27.0,False,6.75,0.0,6.52,0.0,0.0,Ves Birte,F,1105,S,5788,1,True,False,True,False,False
Europa,True,TRAPPIST-1e,37.0,False,0.0,0.0,0.0,0.0,0.0,Genubi Veriedeezy,B,65,P,2196,3,False,False,False,False,False
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Evey Casonston,G,655,P,3995,4,False,False,False,False,False
Earth,False,TRAPPIST-1e,27.0,False,5.06,0.0,7.15,0.0,4.26,Stancy Shieldson,F,610,S,3235,1,True,False,True,False,True
Mars,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,Krios Shbre,F,640,P,3073,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,Wilmay Coolerson,G,469,P,2892,5,False,False,False,False,False
Europa,False,TRAPPIST-1e,56.0,False,0.0,9.51,0.0,0.69,8.32,Arkar Nifficaus,B,217,P,6590,2,False,True,False,True,True
Mars,False,55 Cancri e,22.0,False,4.82,0.0,7.47,0.0,6.92,Basps Horte,F,661,S,3511,1,True,False,True,False,True
Europa,False,TRAPPIST-1e,67.0,False,0.0,8.46,0.0,6.4,1.79,Polluma Pringrous,D,77,S,2308,4,False,True,False,True,True
Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,Masal Pepie,D,124,P,3645,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,27.0,False,7.22,0.0,3.87,3.09,4.92,Rios Floaf,F,35,S,0167,2,True,False,True,True,True
Earth,False,55 Cancri e,20.0,False,6.32,5.27,0.0,7.87,0.0,Loise Wheelez,F,10,S,0038,1,True,True,False,True,False
Mars,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Lidex Opité,F,859,P,4176,2,False,False,False,False,False
Mars,False,TRAPPIST-1e,50.0,False,7.37,0.0,3.58,4.64,0.0,Park Mad,D,270,P,8714,1,True,False,True,True,False
Mars,False,TRAPPIST-1e,33.0,False,6.54,0.0,4.09,6.34,0.0,Grake Traie,F,205,S,1082,1,True,False,True,True,False
Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Phams Nutte,F,152,S,0811,3,False,False,False,False,False
Earth,True,TRAPPIST-1e,30.0,False,0.0,0.0,0.0,0.0,0.0,Guadae Patrichane,G,283,P,1734,1,False,False,False,False,False
Earth,False,PSO J318.5-22,14.0,False,0.0,3.76,6.22,4.83,0.0,Rice Patthews,F,690,P,3308,1,False,True,True,True,False
Earth,False,TRAPPIST-1e,26.0,False,4.73,3.64,0.0,0.0,6.45,Vandy Booneid,F,1411,P,6787,7,True,True,False,False,True
Europa,False,55 Cancri e,55.0,False,9.0,2.08,0.0,7.3,0.0,Terion Mallisly,C,226,S,6066,2,True,True,False,True,False
Mars,True,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,Rionk Rhuba,E,204,S,3120,1,False,False,False,False,False
Europa,False,55 Cancri e,36.0,False,3.37,9.41,0.0,4.53,9.76,Maiam Oilloody,B,32,P,0768,1,True,True,False,True,True
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,6.63,Kris Simstravery,F,1361,S,7113,1,False,False,False,False,True
Earth,False,TRAPPIST-1e,29.0,False,3.4,0.0,6.41,5.59,1.79,Allyn Olivasquez,G,844,P,5235,1,True,False,True,True,True
Mars,False,TRAPPIST-1e,24.0,False,7.28,7.7,5.09,7.76,0.0,Cruts Berle,D,260,S,8639,2,True,True,True,True,False
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Lorie Krampbelles,G,544,P,3329,1,False,False,False,False,False
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Hekabih Praugnox,C,187,S,4726,4,False,False,False,False,False
Earth,False,TRAPPIST-1e,13.0,False,6.38,0.0,3.47,5.89,0.0,Therly Leonadorsen,E,601,S,9134,1,True,False,True,True,False
Earth,True,55 Cancri e,10.0,False,0.0,0.0,0.0,0.0,0.0,Duana Trerady,G,1460,S,9074,4,False,False,False,False,False
Earth,False,TRAPPIST-1e,28.0,False,0.0,6.4,0.0,4.74,0.0,Henrie Moodmandez,F,1232,S,6461,1,False,True,False,True,False
Earth,False,TRAPPIST-1e,27.0,False,6.18,7.01,6.83,0.0,0.0,Jacky Jacostaffey,F,451,P,2241,1,True,True,True,False,False
Europa,True,55 Cancri e,16.0,False,0.0,0.0,0.0,0.0,0.0,Taraid Bradiary,B,129,P,4113,1,False,False,False,False,False
Earth,True,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,0.0,Dianie Ellahan,G,453,P,2809,1,False,False,False,False,False
Earth,True,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,Diandi Mcfaddennon,G,1115,S,6862,1,False,False,False,False,False
Europa,False,TRAPPIST-1e,45.0,False,0.0,7.83,0.0,5.11,0.0,Coxak Bradiary,B,129,P,4113,2,False,True,False,True,False
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Juane Popelazquez,G,620,S,3789,1,False,False,False,False,False
Earth,False,PSO J318.5-22,31.0,False,0.0,6.44,0.0,0.0,2.56,Delody Parsoney,F,717,P,3483,1,False,True,False,False,True
Earth,False,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,6.3,2.48,Earlie Rodricker,F,746,S,3952,1,False,False,False,True,True
Earth,True,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Sharie Gallenry,G,469,P,2892,3,False,False,False,False,False
Earth,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Vandy Campson,G,959,P,5921,1,False,False,False,False,False
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,F,29,S,0133,1,False,False,False,False,False
Europa,False,TRAPPIST-1e,33.0,False,0.0,7.35,8.25,0.0,7.27,Rassias Iniouser,C,97,S,2675,1,False,True,True,False,True
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Okulus Folhal,B,218,S,5684,4,False,False,False,False,False
Earth,False,TRAPPIST-1e,25.0,False,6.89,0.0,1.1,0.0,0.0,Andan Handertiz,E,394,P,6166,1,True,False,True,False,False
Earth,False,TRAPPIST-1e,24.0,False,7.08,0.0,5.94,1.1,5.15,Jimmyn Pooley,F,1831,P,8891,1,True,False,True,True,True
Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,Hanry Moorez,G,1227,P,7644,1,False,False,False,False,False
Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Chelsa Pittson,G,133,S,0885,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,26.0,False,0.0,7.94,6.86,0.0,4.47,Leence Carezquez,G,11,P,0098,2,False,True,True,False,True
Earth,False,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,6.63,0.0,Teremy Cruzaley,F,246,S,1273,1,False,False,False,True,False
Europa,False,55 Cancri e,41.0,True,0.0,9.16,0.0,6.93,7.35,Ranan Frattyring,C,133,P,4181,6,False,True,False,True,True
Earth,False,TRAPPIST-1e,37.0,False,6.86,0.0,0.0,4.38,0.0,Leneva Freevenson,F,1446,P,6966,1,True,False,False,True,False
Europa,True,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,Merabik Dister,C,222,S,5960,3,False,False,False,False,False
Earth,False,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,3.78,7.45,Dellie Perkinson,G,984,P,6067,1,False,False,False,True,True
Europa,False,55 Cancri e,43.0,False,0.0,9.73,0.0,8.38,6.88,Tabdhib Heeroling,C,255,P,7866,1,False,True,False,True,True
Earth,False,TRAPPIST-1e,15.0,False,0.0,1.79,0.0,6.89,0.0,Davisy Folemonley,E,508,P,7852,1,False,True,False,True,False
Earth,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,Sharie Cleang,G,206,S,1350,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,54.0,False,6.56,0.0,6.07,0.0,3.85,Cupers Breke,D,44,S,1254,1,True,False,True,False,True
Earth,False,TRAPPIST-1e,26.0,False,0.0,6.67,0.0,2.4,4.42,Fayen Hermanapp,F,1160,P,5589,1,False,True,False,True,True
Earth,False,TRAPPIST-1e,19.0,False,6.79,0.0,0.0,7.37,2.48,Herina Pierry,F,1675,S,8661,1,True,False,False,True,True
Mars,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Cowns Fiha,F,96,P,0425,2,False,False,False,False,False
Europa,True,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,Azham Chsere,B,154,S,4026,1,False,False,False,False,False
Earth,True,TRAPPIST-1e,58.0,False,0.0,0.0,0.0,0.0,0.0,Blancy Pollarkeeks,G,92,S,0615,1,False,False,False,False,False
Europa,False,TRAPPIST-1e,58.0,False,0.69,0.0,2.64,0.69,7.05,Zaurion Hoodjuded,A,29,S,2251,2,True,False,True,True,True
Earth,False,TRAPPIST-1e,23.0,False,2.71,0.0,6.66,1.1,1.1,Kyley Matts,F,847,P,4129,1,True,False,True,True,True
Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,Brance Mcfarleys,G,891,P,5569,1,False,False,False,False,False
Earth,False,55 Cancri e,14.0,False,6.48,0.0,1.39,0.0,0.0,Idace Popelacruz,F,1572,P,7578,1,True,False,True,False,False
Europa,False,TRAPPIST-1e,30.0,False,5.34,5.06,7.85,5.14,6.16,Terion Distured,E,541,S,8204,2,True,True,True,True,True
Earth,False,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,6.26,7.54,Leony Powery,F,1000,S,5218,1,False,False,False,True,True
Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Ranutz Meate,F,1262,S,6592,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,21.0,False,0.0,6.58,0.0,0.0,0.0,Monah Lowelliott,F,1356,P,6541,1,False,True,False,False,False
Mars,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Llat Stité,F,93,S,0527,2,False,False,False,False,False
Mars,True,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,Eal Carté,F,862,S,4592,2,False,False,False,False,False
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.79,6.67,3.89,0.0,Dell Kerristicey,G,1096,S,6730,1,False,True,True,True,False
Earth,False,TRAPPIST-1e,46.0,False,0.0,6.32,0.0,5.66,6.66,Deaney Handertiz,E,168,S,2396,1,False,True,False,True,True
Europa,False,TRAPPIST-1e,35.0,True,5.51,6.08,6.13,0.0,7.59,Sterfik Gealloyalt,A,53,P,5748,1,True,True,True,False,True
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Spikes Bake,F,1747,P,8508,2,False,False,False,False,False
Europa,True,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,Misa Belstrut,B,103,S,2707,2,False,False,False,False,False
Earth,False,PSO J318.5-22,57.0,False,0.0,7.27,0.0,3.4,5.82,Jonard Leblanchez,G,455,S,2872,1,False,True,False,True,True
Mars,False,55 Cancri e,55.0,False,7.43,0.0,0.0,0.0,1.79,Koops Upead,F,771,S,4079,1,True,False,False,False,True
Earth,False,TRAPPIST-1e,15.0,False,0.0,0.0,2.94,5.86,5.79,Olly Hebernandry,F,955,S,5019,1,False,False,True,True,True
Mars,False,PSO J318.5-22,34.0,True,0.0,6.19,6.77,0.0,0.0,Denuts Ropie,E,249,S,3744,1,False,True,True,False,False
Earth,False,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,7.34,Eduana Buckentry,F,1112,P,5414,4,False,False,False,False,True
Earth,False,TRAPPIST-1e,28.0,False,0.0,3.26,4.48,1.61,6.63,Heryle Paulllegory,F,335,P,1690,1,False,True,True,True,True
Europa,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Dabiton Tronsive,C,123,P,3699,3,False,False,False,False,False
Earth,False,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,6.39,Nichad Harley,F,1200,P,5781,1,False,False,False,False,True
Earth,False,TRAPPIST-1e,33.0,False,3.78,6.45,2.89,4.56,0.0,Vina Waterson,E,238,S,3492,1,True,True,True,True,False
Europa,False,TRAPPIST-1e,48.0,False,0.0,2.48,0.0,8.98,2.71,Alraixa Ainserfle,B,107,P,3412,1,False,True,False,True,True
Earth,False,PSO J318.5-22,45.0,False,0.0,2.71,3.78,0.0,7.34,Hary Owerson,E,466,S,6973,1,False,True,True,False,True
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Fayel Trerady,G,1460,S,9074,5,False,False,False,False,False
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,G,37,P,0220,3,False,False,False,False,False
Earth,False,TRAPPIST-1e,27.0,False,0.0,7.48,0.0,2.83,2.56,Melica Browlerson,G,949,S,5861,1,False,True,False,True,True
Europa,True,55 Cancri e,44.0,False,0.0,0.0,0.0,0.0,0.0,Gimph Distured,C,53,P,1452,5,False,False,False,False,False
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Froder Paska,F,393,P,1977,1,False,False,False,False,False
Europa,False,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,Alsham Irintious,B,56,S,1306,2,False,False,False,False,False
Europa,False,55 Cancri e,35.0,False,4.55,8.14,0.0,5.97,5.76,Krazet Headfair,A,13,P,1860,2,True,True,False,True,True
Earth,True,PSO J318.5-22,14.0,False,0.0,0.0,0.0,0.0,0.0,Leonyl Buchansen,G,579,P,3540,1,False,False,False,False,False
Earth,True,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,Beula Simonson,G,500,S,3162,3,False,False,False,False,False
Earth,False,TRAPPIST-1e,47.0,False,3.74,6.23,0.0,0.0,6.96,Elene Mayder,E,576,P,8983,1,True,True,False,False,True
Earth,False,TRAPPIST-1e,22.0,False,0.0,6.36,5.42,4.3,0.0,Stany Haydenzier,G,107,S,0696,1,False,True,True,True,False
Earth,False,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,Iney Booneid,F,1411,P,6787,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,47.0,False,5.65,6.4,1.1,0.0,6.46,Willy Mcfarleys,F,1261,S,6591,1,True,True,True,False,True
Europa,True,55 Cancri e,32.0,False,0.0,0.0,0.0,0.0,0.0,Ainkard Seflock,B,154,P,4655,1,False,False,False,False,False
Earth,True,PSO J318.5-22,24.0,False,0.0,0.0,0.0,0.0,0.0,Craine Vincenton,G,452,P,2807,2,False,False,False,False,False
Europa,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Duhra Objeciane,B,41,S,1075,2,False,False,False,False,False
Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Relix Welto,F,523,S,2709,2,False,False,False,False,False
Mars,True,TRAPPIST-1e,69.0,False,0.0,0.0,0.0,0.0,0.0,Goldch Traie,F,489,S,2532,2,False,False,False,False,False
Europa,False,55 Cancri e,26.0,False,1.79,6.59,0.0,7.15,7.02,Gacrab Gealter,D,267,P,8589,1,True,True,False,True,True
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Idary Owery,G,292,S,1865,3,False,False,False,False,False
Earth,False,PSO J318.5-22,28.0,False,0.0,0.0,0.0,6.51,2.77,Troyra Cames,F,1375,S,7155,1,False,False,False,True,True
Earth,False,TRAPPIST-1e,29.0,False,1.1,0.0,1.1,0.0,6.55,Coreen Bushins,F,575,P,2774,1,True,False,True,False,True
Europa,True,55 Cancri e,61.0,False,0.0,0.0,0.0,0.0,0.0,Geonev Retefule,C,279,S,7525,2,False,False,False,False,False
Earth,False,PSO J318.5-22,26.0,False,6.69,0.0,0.0,0.0,3.69,Kentha Franton,G,915,S,5651,1,True,False,False,False,True
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Hanna Clemondsey,G,1476,P,9081,1,False,False,False,False,False
Europa,True,55 Cancri e,17.0,False,0.0,0.0,0.0,0.0,0.0,Alraium Disivering,B,222,P,6665,1,False,False,False,False,False
Earth,False,PSO J318.5-22,5.0,False,0.0,0.0,0.0,0.0,0.0,Stelly Leeves,G,550,P,3363,3,False,False,False,False,False
Europa,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Hadlam Prucerod,E,38,P,0644,1,False,False,False,False,False
Europa,True,55 Cancri e,56.0,False,0.0,0.0,0.0,0.0,0.0,Chainon Spadicage,C,198,S,5112,1,False,False,False,False,False
Europa,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Arraid Opshaft,E,607,S,9267,1,False,False,False,False,False
Earth,False,55 Cancri e,17.0,False,0.0,2.4,6.2,0.0,5.92,Tamin Bowenasey,F,468,S,2441,1,False,True,True,False,True
Earth,False,TRAPPIST-1e,5.0,False,0.0,0.0,0.0,0.0,0.0,Armen Ellson,G,981,S,6030,1,False,False,False,False,False
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Walley Waderoachez,F,1808,P,8770,2,False,False,False,False,False
Earth,False,55 Cancri e,17.0,False,0.0,5.57,0.0,0.0,6.22,Myrace Savaraldez,F,888,S,4723,1,False,True,False,False,True
Mars,True,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Jackix Fache,F,248,S,1286,1,False,False,False,False,False
Europa,False,TRAPPIST-1e,49.0,False,0.0,7.47,0.0,6.68,6.34,Cellum Obnoble,B,264,S,6947,2,False,True,False,True,True
Earth,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Adamie Benney,G,1026,S,6325,1,False,False,False,False,False
Earth,False,TRAPPIST-1e,22.0,False,4.75,0.0,6.67,1.79,0.0,Francy Spentley,G,54,S,0376,1,True,False,True,True,False
Earth,False,TRAPPIST-1e,38.0,False,1.39,0.0,0.0,0.0,7.43,Yola Fielsenders,E,105,P,1717,2,True,False,False,False,True
Earth,False,PSO J318.5-22,53.0,False,0.69,2.89,6.56,0.0,0.0,Jodia Rossey,F,697,P,3382,1,True,True,True,False,False
Earth,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Helle Barrez,G,834,S,5106,1,False,False,False,False,False
Europa,False,55 Cancri e,23.0,False,3.58,7.81,0.0,5.94,6.69,Alchird Apenelexy,A,19,P,2506,3,True,True,False,True,True
Mars,False,TRAPPIST-1e,13.0,False,3.3,0.0,8.09,0.0,0.0,Ecco Sopie,D,144,S,4509,3,True,False,True,False,False
Earth,False,TRAPPIST-1e,24.0,False,0.69,1.1,0.0,6.42,5.08,Dellie Rostarks,G,257,P,1604,1,True,True,False,True,True
Europa,False,TRAPPIST-1e,46.0,False,0.0,8.09,6.63,8.39,0.0,Halla Porkilte,B,230,S,5977,4,False,True,True,True,False
Europa,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,Jihonon Resendent,B,336,S,8618,2,False,False,False,False,False
Mars,True,55 Cancri e,20.0,False,0.0,0.0,0.0,0.0,0.0,Newtch Gen,F,448,P,2234,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,38.0,False,6.79,0.0,6.43,0.0,0.0,Mall Frasp,F,588,S,3130,1,True,False,True,False,False
Mars,False,TRAPPIST-1e,42.0,False,8.91,0.0,0.0,0.0,0.0,Totse Datte,F,16,P,0082,1,True,False,False,False,False
Earth,False,TRAPPIST-1e,35.0,False,0.0,4.48,6.58,3.83,0.0,Wilmay Pooley,G,295,S,1887,1,False,True,True,True,False
Mars,False,TRAPPIST-1e,50.0,False,6.74,0.0,5.63,5.63,0.0,Fal Blane,F,1121,P,5435,1,True,False,True,True,False
Mars,True,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Moss Nacke,F,508,P,2449,3,False,False,False,False,False
Europa,True,55 Cancri e,37.0,False,0.0,0.0,0.0,0.0,0.0,Thaldah Brakeng,B,300,P,9205,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,20.0,False,5.36,0.0,6.9,0.0,2.56,Gorice Lacke,F,427,S,2168,2,True,False,True,False,True
Mars,False,TRAPPIST-1e,37.0,False,7.0,0.69,3.26,3.53,0.0,Blesh Fiha,F,96,P,0425,1,True,True,True,True,False
Earth,False,55 Cancri e,46.0,False,6.42,0.0,4.13,0.0,0.0,Dorice Barbes,G,250,S,1624,2,True,False,True,False,False
Earth,False,55 Cancri e,39.0,False,6.5,0.0,0.0,3.69,0.0,Lonna Rocknight,F,778,S,4137,1,True,False,False,True,False
Earth,False,TRAPPIST-1e,25.0,False,4.16,0.0,0.0,6.49,0.0,Ireen Goody,F,481,S,2496,1,True,False,False,True,False
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Carita Villenson,G,268,P,1663,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,31.0,False,5.11,0.0,5.69,6.73,0.0,Gon Chpie,E,515,S,7853,2,True,False,True,True,False
Europa,True,55 Cancri e,44.0,False,0.0,0.0,0.0,0.0,0.0,Alyat Stingive,B,166,P,5006,2,False,False,False,False,False
Earth,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,Gileen Mcphernard,G,1150,S,7040,1,False,False,False,False,False
Europa,True,55 Cancri e,17.0,False,0.0,0.0,0.0,0.0,0.0,Zosmas Mormonized,D,122,P,3608,1,False,False,False,False,False
Earth,False,PSO J318.5-22,32.0,False,0.0,0.0,6.6,0.0,0.0,Celis Bucknersony,F,602,P,2910,1,False,False,True,False,False
Earth,False,TRAPPIST-1e,47.0,False,2.48,1.95,0.0,6.58,0.0,Carma Woody,F,298,S,1541,1,True,True,False,True,False
Europa,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,Menchah Timleplet,A,23,P,2798,2,False,False,False,False,False
Earth,True,55 Cancri e,16.0,False,0.0,0.0,0.0,0.0,0.0,Carita Loverceson,G,1352,S,8441,1,False,False,False,False,False
Mars,False,TRAPPIST-1e,31.0,False,7.8,0.0,4.99,2.77,0.0,Flams Spane,F,317,S,1669,1,True,False,True,True,False
